Entity,Code,Year,crater_diameter
Acraman (Australia),,-590000000,90
Araguainha (Brazil),,-254700000,40
Beaverhead (United States),,-600000000,60
Charlevoix (Canada),,-342000000,54
Chesapeake Bay (United States),,-35500000,40
Chicxulub (Mexico),,-64980000,150
Kara (Russia),,-70300000,65
Kara-Kul (Tajikistan),,-5000000,52
Manicouagan (Canada),,-214000000,85
Mjølnir (Norway),,-142000000,40
Montagnais (Canada),,-50500000,45
Morokweng (South Africa),,-145000000,70
Popigai (Russia),,-35700000,90
Puchezh-Katunki (Russia),,-167000000,40
Saint Martin (Canada),,-220000000,40
Siljan (Sweden),,-376800000,52
Sudbury (Canada),,-1850000000,130
Tookoonooka (Australia),,-128000000,55
Vredefort (South Africa),,-2023000000,160
Woodleigh (Australia),,-364000000,40